Gpa,*10^-9 Pa,GPa,,,,,,,,
celsius,*C,°c,c,c*,cel,cel.,celsius,deg C,Deg. Celcius,degree
celsius/min,*C/min,,,,,,,,,
1/cm,1/cm,cm^(-1),cm^-1,cm-1,,,,,,
1/sec,1/s,sec^-1,,,,,,,,
A cm^(-2),A cm^(-2),,,,,,,,,
A/cm^2,A/cm^2,A/cm2,,,,,,,,
A/m^2,A/m^2,,,,,,,,,
A/mm^2,A/mm^2,,,,,,,,,
A^(-1),A^(-1),A^-1,,,,,,,,
Â°C,Â°C,,,,,,,,,
amps,amps,,,,,,,,,
bonds/nm2,bonds/nm2,,,,,,,,,
C/m^3,C/m^3,,,,,,,,,
Cal/g*C,Cal/g*C,,,,,,,,,
cal/g.s,cal/g.s,,,,,,,,,
ch/nm^2,ch/nm^2,chain/nm^2,,,,,,,,
cm,cm,,,,,,,,,
cm^2/Vs,cm^2/Vs,,,,,,,,,
cP,cP,,,,,,,,,
eV,eV,,,,,,,,,
GHz,GHz,,,,,,,,,
hours,h,hours,,,,,,,,
Hz,Hertz,Hz,,,,,,,,
I,I,,,,,,,,,
J/gK,J/(g*K,j/(gk),J/gK,,,,,,,
J/cm^3,J/cm^3,J/cm3,,,,,,,,
J/g,J/g,,,,,,,,,
,,,,,,,,,,
J/m^3,J/m^3,,,,,,,,,
K,K,,,,,,,,,
K^-1,K^-1,,,,,,,,,
kg/mol,kg/mol,,,,,,,,,
kHz,kHz,,,,,,,,,
KPa,KPa,,,,,,,,,
kV/cm,kV/cm,,,,,,,,,
kV/m,kV/m,,,,,,,,,
kV/mm,kV/mm,,,,,,,,,
log Hz,log Hz,,,,,,,,,
minutes,min,Minutes,,,,,,,,
min^-1,min^-1,,,,,,,,,
mm,mm,,,,,,,,,
MPa,MPa,,,,,,,,,
MV/cm,MV/cm,,,,,,,,,
MV/m,MV/m,,,,,,,,,
mV/mm,mV/mm,,,,,,,,,
mW,mW,,,,,,,,,
n/m,n/m,,,,,,,,,
nm,nanometers,nm,,,,,,,,
Ohm,Ohm,,,,,,,,,
ohm*cm,ohm cm,ohms-cm,,,,,,,,
ohm*m,ohms - m,ohms-m,,,,,,,,
Pa,Pa,,,,,,,,,
Pa*s,Pa s,Pa*s,Pa-s,Pa.s,Pa-sec,,,,,
rad/sec,rad/s,rad/sec,,,,,,,,
sec,s,sec,,,,,,,,
S cm^-1,S cm^-1,,,,,,,,,
S/m,S m^-1,s.m-1,S/m,,,,,,,
s(cm),s(cm),,,,,,,,,
S/cm,S/cm,,,,,,,,,
V,V,,,,,,,,,
V/cm,V/cm,,,,,,,,,
v/mm,v/mm,,,,,,,,,
W/g,W/g,,,,,,,,,
W/mK,W/mK,,,,,,,,,
deg,deg,,,,,,,,,
(dimensionless),(dimensionless),,,,,,,,,
